100421695700012077171460      DISK MED PADUA DISTRIBUIDORA DE MEDSanto Antonio de Padua        RJ22385490042011100120111031331
11RODOVIA PIRAPETINGA A PADUA       SN   KM 01                 SANTA LUZIA    28470000ADILSON                     002238549004
5030402937000154ISENTO        20111003RJ011  2113285403P000000002998200000000299820000000000000000000000000000000000000000000N
5002934539000143ISENTO        20111003RJ011  2113295403P000000005732100000000573210000000000000000000000000000000000000000000N
503922450600011084992046      20111003RJ011  2113305403P000000000840000000000084000000000000000000000000000000000000000000000N
503922450600011084992046      20111003RJ011  2113305102P000000001400000000000140000000000002660000000000000000000000000001900N
50080889960001400010106030086 20111003MG011  2113316403P000000005346700000000534670000000006416000000000000000000000000001200N
503166968200015382573291      20111003RJ011  2113325403P000000001707200000000170720000000000000000000000000000000000000000000N
503166968200015382573291      20111003RJ011  2113325102P000000000731700000000073170000000001390000000000000000000000000001900N
500359893100012178306750      20111003RJ011  2113335403P000000006567000000000656700000000000000000000000000000000000000000000N
500359893100012178306750      20111003RJ011  2113335102P000000000088900000000008890000000000169000000000000000000000000001900N
503014694800011080837348      20111003RJ011  2113345403P000000004597800000000459780000000000000000000000000000000000000000000N
503014694800011080837348      20111003RJ011  2113345102P000000000084000000000008400000000000160000000000000000000000000001900N
500943863900012878473126      20111003RJ011  2113355403P000000004982200000000498220000000000000000000000000000000000000000000N
50133700110001050017455320019 20111003MG011  2113366403P000000008673200000000867320000000010408000000000000000000000000001200N
503646334700011884393681      20111003RJ011  2113375403P000000003728000000000372800000000000000000000000000000000000000000000N
503646334700011884393681      20111003RJ011  2113375102P000000001056000000000105600000000002006000000000000000000000000001900N
5000357959000189081718420     20111003ES011  2113386403P000000003503600000000350360000000002422000000000000000000000000000700N
500255336100019075716788      20111003RJ011  2113395403P000000002784800000000278480000000000000000000000000000000000000000000N
500255336100019075716788      20111003RJ011  2113395102P000000000255600000000025560000000000486000000000000000000000000001900N
5028522738000138ISENTO        20111003ES011  2113406108P000000002604800000000260480000000001823000000000000000000000000000700N
5031575483000186ISENTO        20111003RJ011  2113415403P000000001996800000000199680000000000000000000000000000000000000000000N
5001648573000199ISENTO        20111003RJ011  2113425403P000000002456600000000245660000000000000000000000000000000000000000000N
5032412819000748ISENTO        20111003RJ011  2113435403P000000000358500000000035850000000000000000000000000000000000000000000N
5032412819000748ISENTO        20111003RJ011  2113445403P000000000358500000000035850000000000000000000000000000000000000000000N
5004249257000132ISENTO        20111003RJ011  2113455403P000000008563000000000856300000000000000000000000000000000000000000000N
5018338178000102ISENTO        20111003MG011  2113466108P000000008966200000000896620000000010759000000000000000000000000001200N
5000103582007063ISENTO        20111003MG011  2113476108P000000014929400000001492940000000017915000000000000000000000000001200N
5000309851000110ISENTO        20111003MG011  2113486108P000000002058000000000205800000000002470000000000000000000000000001200N
5024802225000120ISENTO        20111003MG011  2113496108P000000002769000000000276900000000003323000000000000000000000000001200N
5029115441000110ISENTO        20111003RJ011  2113505403P000000003103600000000310360000000000000000000000000000000000000000000N
5032412819000748ISENTO        20111003RJ011  2113515949P000000000118400000000011840000000000000000000000000000000000000000000N
502925928000013980882661      20111003RJ011  2113525403P000000001562000000000156200000000000000000000000000000000000000000000N
502925928000013980882661      20111003RJ011  2113525102P000000000514000000000051400000000000977000000000000000000000000001900N
5018636209000101ISENTO        20111003MG011  2113536108P000000007821400000000782140000000009386000000000000000000000000001200N
502927716700077179140821      20111003RJ011  2113545403P000000004536000000000453600000000000000000000000000000000000000000000N
5030240030000136ISENTO        20111003RJ011  2113555102P000000001987200000000198720000000000000000000000000000000000000000000N
5030240030000136ISENTO        20111003RJ011  2113555403P000000002797900000000279790000000000000000000000000000000000000000000N
5030240030000136ISENTO        20111003RJ011  2113555102P000000001545000000000154500000000002936000000000000000000000000001900N
5005132108000151ISENTO        20111003RJ011  2113565403P000000004284800000000428480000000000000000000000000000000000000000000N
5036285484000100ISENTO        20111003RJ011  2113575403P000000014347000000001434700000000000000000000000000000000000000000000N
5005669731000148ISENTO        20111003MG011  2113586108P000000002476000000000247600000000002971000000000000000000000000001200N
50192731680001073674184260005 20111003MG011  2113616411P000000000234800000000023480000000000281000000000000000000000000001200N
5032412819000748ISENTO        20111003RJ011  2113625403P000000001574400000000157440000000000000000000000000000000000000000000N
50260393210001932460612370086 20111003MG011  2113636108P000000000133000000000013300000000000160000000000000000000000000001200N
50260393210001932460612370086 20111003MG011  2113636403P000000000432300000000043230000000000519000000000000000000000000001200N
507416626500010984782300      20111003RJ011  2113645403P000000002884200000000288420000000000000000000000000000000000000000000N
507416626500010984782300      20111003RJ011  2113645102P000000001183900000000118390000000002368000000000000000000000000001900N
501122229400011278874937      20111003RJ011  2113655403P000000007975300000000797530000000000000000000000000000000000000000000N
501122229400011278874937      20111003RJ011  2113655102P000000000236500000000023650000000000449000000000000000000000000001900N
500942813500012778523360      20111003RJ011  2113665403P000000002245800000000224580000000000000000000000000000000000000000000N
5007475351000106082332215     20111003ES011  2113676108P000000000207800000000020780000000000000000000000000000000000000000000N
5007475351000106082332215     20111003ES011  2113676108P000000002207700000000220770000000001545000000000000000000000000000700N
5007475351000106082332215     20111003ES011  2113676403P000000012503700000001250370000000008753000000000000000000000000000700N
5007475351000106082332215     20111003ES011  2113686108P000000000138000000000013800000000000000000000000000000000000000000000N
5007475351000106082332215     20111003ES011  2113686108P000000000319500000000031950000000000224000000000000000000000000000700N
5007475351000106082332215     20111003ES011  2113686403P000000013099300000001309930000000009113000000000000000000000000000700N
500090212500010785298879      20111003RJ011  2113695102P000000001209600000000120960000000000000000000000000000000000000000000N
500090212500010785298879      20111003RJ011  2113695403P000000000750000000000075000000000000000000000000000000000000000000000N
503922450600011084992046      20111003RJ011  2113705403P000000000300000000000030000000000000000000000000000000000000000000000N
