    00412880000103071011300911026012NF 10010000000000000003047.1000000003047.1000000000365.6500000000000.0000000000000.0000000000000.0012,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000003047.10100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            081.722.75-3      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2102000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000000.000000000      00000000000.0000000000000.0000000000000.00
    00947389000187071011290911005409NF 10010000000000000003104.0000000000000.0000000000000.0000000000000.0000000003104.0000000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000003104.00100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            664.055.210.112   SP      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2102000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000000.000000000      00000000000.0000000000000.0000000000000.00
    01035335000299061011011011086047NF 10010000000000000000532.0000000000000.0000000000000.0000000000000.0000000000572.4400000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000000572.44100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            78.536.37-3       RJ      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             1403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000040.440000000      00000000000.0000000000000.0000000000000.00
    01057428000133031011190911010460NF 10010000000000000003500.0000000000000.0000000000000.0000000000000.0000000003535.0000000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000003535.00100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            114.644.360.113   SP      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000000.000000000      00000000035.0000000000000.0000000000000.00
    01206820002060031011300911459308NF 10010000000000000003569.2100000000000.0000000000000.0000000000000.0000000003927.8300000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000003927.83100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            082.698.65-1      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000358.620000000      00000000000.0000000000000.0000000000000.00
    01206820002060031011300911459525NF 10010000000000000000659.7200000000659.7200000000079.1700000000000.0000000000000.0000000000000.0012,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000000659.72100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            082.698.65-1      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2102000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000049.900000000      00000000000.0000000000000.0000000000000.00
    01206820002060031011300911459525NF 10020000000000000000460.7700000000000.0000000000000.0000000000000.0000000000565.7300000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000000565.73100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            082.698.65-1      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000049.900000000      00000000000.0000000000000.0000000000000.00
    01206820002060031011300911459767NF 10010000000000000000554.1400000000000.0000000000000.0000000000000.0000000000582.5100000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000000582.51100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            082.698.65-1      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000028.370000000      00000000000.0000000000000.0000000000000.00
    01206820002060051011031011460908NF 10010000000000000000026.2400000000026.2400000000003.1500000000000.0000000000000.0000000000000.0012,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000000026.24100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            082.698.65-1      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2102000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000880.410000000      00000000000.0000000000000.0000000000000.00
    01206820002060051011031011460908NF 10020000000000000008143.0600000000000.0000000000000.0000000000000.0000000009026.2200000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000009026.22100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            082.698.65-1      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000880.410000000      00000000000.0000000000000.0000000000000.00
    01206820002060051011041011462570NF 10010000000000000000530.1200000000000.0000000000000.0000000000000.0000000000587.5200000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000000587.52100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            082.698.65-1      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000057.400000000      00000000000.0000000000000.0000000000000.00
    01206820002060051011041011462688NF 10010000000000000001908.9200000000000.0000000000000.0000000000000.0000000002112.4200000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000002112.42100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            082.698.65-1      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000203.500000000      00000000000.0000000000000.0000000000000.00
    01206820002060061011051011463961NF 10010000000000000000218.8900000000000.0000000000000.0000000000000.0000000000230.1100000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000000230.11100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            082.698.65-1      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000011.220000000      00000000000.0000000000000.0000000000000.00
    01206820002060061011051011464005NF 10010000000000000000146.9100000000000.0000000000000.0000000000000.0000000000161.9300000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000000161.93100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            082.698.65-1      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000015.020000000      00000000000.0000000000000.0000000000000.00
    01206820002060061011051011464095NF 10010000000000000007781.8500000000000.0000000000000.0000000000000.0000000008621.4800000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000008621.48100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            082.698.65-1      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000839.630000000      00000000000.0000000000000.0000000000000.00
    01206820002060071011061011465652NF 10010000000000000004497.2600000000000.0000000000000.0000000000000.0000000004979.6000000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000004979.60100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            082.698.65-1      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000482.340000000      00000000000.0000000000000.0000000000000.00
    01206820002060101011071011466878NF 10010000000000000000402.9000000000000.0000000000000.0000000000000.0000000000445.6700000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000000445.67100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            082.698.65-1      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000042.770000000      00000000000.0000000000000.0000000000000.00
    01206820002060111011101011468446NF 10010000000000000000220.6700000000000.0000000000000.0000000000000.0000000000244.2100000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000000244.21100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            082.698.65-1      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000023.540000000      00000000000.0000000000000.0000000000000.00
    01206820002060111011101011468553NF 10010000000000000000282.4600000000282.4600000000033.8900000000000.0000000000000.0000000000000.0012,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000000282.46100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            082.698.65-1      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2102000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000257.450000000      00000000000.0000000000000.0000000000000.00
    01206820002060111011101011468553NF 10020000000000000002431.5600000000000.0000000000000.0000000000000.0000000002689.0100000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000002689.01100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            082.698.65-1      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000257.450000000      00000000000.0000000000000.0000000000000.00
    01206820002060111011111011469011NF 10010000000000000005788.1000000000000.0000000000000.0000000000000.0000000006002.4200000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000006002.42100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            082.698.65-1      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000214.320000000      00000000000.0000000000000.0000000000000.00
    01206820002060131011111011470320NF 10010000000000000003893.5400000000000.0000000000000.0000000000000.0000000004314.2700000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000004314.27100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            082.698.65-1      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000420.730000000      00000000000.0000000000000.0000000000000.00
    01206820002060141011131011471273NF 10010000000000000000567.7800000000000.0000000000000.0000000000000.0000000000629.0400000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000000629.04100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            082.698.65-1      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000061.260000000      00000000000.0000000000000.0000000000000.00
    01206820002060141011131011471324NF 10010000000000000001205.1900000000000.0000000000000.0000000000000.0000000001266.9000000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000001266.90100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            082.698.65-1      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000061.710000000      00000000000.0000000000000.0000000000000.00
    01206820002060141011131011471349NF 10010000000000000000006.5700000000006.5700000000000.7900000000000.0000000000000.0000000000000.0012,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000000006.57100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            082.698.65-1      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2102000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000011.070000000      00000000000.0000000000000.0000000000000.00
    01206820002060141011131011471349NF 10020000000000000000106.5100000000000.0000000000000.0000000000000.0000000000117.5800000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000000117.58100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            082.698.65-1      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000011.070000000      00000000000.0000000000000.0000000000000.00
    01206820002060141011131011471569NF 10010000000000000000105.2900000000000.0000000000000.0000000000000.0000000000110.6900000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000000110.69100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            082.698.65-1      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000005.400000000      00000000000.0000000000000.0000000000000.00
    01206820002060181011171011474634NF 10010000000000000001892.7700000000000.0000000000000.0000000000000.0000000001989.6900000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000001989.69100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            082.698.65-1      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000096.920000000      00000000000.0000000000000.0000000000000.00
    01267825000130061011041011017413NF 10010000000000000010188.9000000000000.0000000000000.0000000000000.0000000010188.9000000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000010188.90100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            367.974.673-0038  MG      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000000.000000000      00000000000.0000000000000.0000000000000.00
    01267825000130071011061011017452NF 10010000000000000000369.0000000000000.0000000000000.0000000000000.0000000000369.0000000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000000369.00100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            367.974.673-0038  MG      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000000.000000000      00000000000.0000000000000.0000000000000.00
    01267825000130071011061011017453NF 10010000000000000000221.4000000000000.0000000000000.0000000000000.0000000000221.4000000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000000221.40100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            367.974.673-0038  MG      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2949000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000000.000000000      00000000000.0000000000000.0000000000000.00
    02023791000109141011141011212253NF 10010000000000000000049.7000000000049.7000000000000.00                            00000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000000049.70100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            062.709.831-0076  MG      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             1202000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000000.000000000      00000000000.0000000000000.0000000000000.00
    02082008000170031011280911157989NF 10010000000000000000052.0000000000000.0000000000000.0000000000000.0000000000052.0000000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000000052.00100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            439.715.464-0050  MG      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2353000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000000.000000000      00000000000.0000000000000.0000000000000.00
    02433631000120071011280911041341NF 10010000000000000005720.0000000000000.0000000000000.0000000000000.0000000005720.0000000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000005720.00100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            082.086.67-2      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000000.000000000      00000000000.0000000000000.0000000000000.00
    02433631000120141011300911041719NF 10010000000000000003600.0000000000000.0000000000000.0000000000000.0000000003600.0000000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000003600.00100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            082.086.67-2      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000000.000000000      00000000000.0000000000000.0000000000000.00
    02457720000106031011300911195766NF 10010000000000000001221.5000000000000.0000000000000.0000000000000.0000000001292.5400000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000001292.54100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            75.688.67-9       RJ      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             1403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000071.040000000      00000000000.0000000000000.0000000000000.00
    02457720000106031011300911195919NF 10010000000000000000354.0000000000000.0000000000000.0000000000000.0000000000389.2200000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000000389.22100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            75.688.67-9       RJ      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             1403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000035.220000000      00000000000.0000000000000.0000000000000.00
    02457720000106101011071011197043NF 10010000000000000000606.5000000000000.0000000000000.0000000000000.0000000000658.5200000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000000658.52100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            75.688.67-9       RJ      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             1403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000052.020000000      00000000000.0000000000000.0000000000000.00
    02457720000106171011141011198388NF 10010000000000000000319.4800000000000.0000000000000.0000000000000.0000000000349.5100000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000000349.51100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            75.688.67-9       RJ      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             1403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000030.030000000      00000000000.0000000000000.0000000000000.00
    02491874000114031011031011211360NF 10010000000000000000865.7200000000865.7200000000103.89              00000000000.0000000000000.0012,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000000865.72100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            439.170.338-0090  MG      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2202000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000000.000000000      00000000000.0000000000000.0000000000000.00
    02632609000109041011300911370669NF 10010000000000000013581.5300000000000.0000000000000.0000000000000.0000000014271.7000000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000014271.70100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            081.962.39-8      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000690.170000000      00000000000.0000000000000.0000000000000.00
    02632609000109071011031011071488NF 10010000000000000004070.0000000000000.0000000000000.0000000000000.0000000004278.4000000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000004278.40100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            081.962.39-8      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000208.400000000      00000000000.0000000000000.0000000000000.00
    02632609000109181011161011377154NF 10010000000000000002130.0000000000000.0000000000000.0000000000000.0000000002239.0700000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000002239.07100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            081.962.39-8      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000109.070000000      00000000000.0000000000000.0000000000000.00
    02632609000109191011161011377322NF 10010000000000000005381.1300000000000.0000000000000.0000000000000.0000000005656.4500000000000.0000,0000000000000.0000000000000.0000000000000.0000000000000.0000000000000.0000000005656.45100000000000000.00000000000.00000000000.00000000000.00                                                                                                                                                                                                                            081.962.39-8      ES      00000000000.00      00000000000.00     00000000000.00     00000000000.0000000000000.00             2403000000000000000000000000                    00000000000000                    00000000000000                                                       00000000000.0000000000275.320000000      00000000000.0000000000000.0000000000000.00
